,Area_Surveyed,date_surveyed,daily_co2_emmission_ppm_stationary
0,Eleme Junction,2022-01-01,544.320535
8,Eleme Junction,2022-01-02,553.956935
16,Eleme Junction,2022-01-03,550.3875788356165
24,Eleme Junction,2022-01-04,555.3938209060403
32,Eleme Junction,2022-01-05,555.465823031445
40,Eleme Junction,2022-01-06,555.1480947017513
48,Eleme Junction,2022-01-07,555.8085702964984
56,Eleme Junction,2022-01-08,552.1800916332872
64,Eleme Junction,2022-01-09,548.4868526279214
72,Eleme Junction,2022-01-10,549.5068368698155
80,Eleme Junction,2022-01-11,552.8578982415485
88,Eleme Junction,2022-01-12,551.7546818339414
96,Eleme Junction,2022-01-13,555.8042890271073
104,Eleme Junction,2022-01-14,552.5944841819215
112,Eleme Junction,2022-01-15,553.403113946893
120,Eleme Junction,2022-01-16,552.3978559960566
128,Eleme Junction,2022-01-17,554.7456378542436
136,Eleme Junction,2022-01-18,555.0682212972356
144,Eleme Junction,2022-01-19,555.057030151395
152,Eleme Junction,2022-01-20,550.4784802772683
160,Eleme Junction,2022-01-21,546.4469373924836
168,Eleme Junction,2022-01-22,550.1270190207996
176,Eleme Junction,2022-01-23,549.3142753768052
184,Eleme Junction,2022-01-24,546.7601679447167
192,Eleme Junction,2022-01-25,550.3028081536631
200,Eleme Junction,2022-01-26,549.094130243163
208,Eleme Junction,2022-01-27,550.0412129052531
216,Eleme Junction,2022-01-28,548.1793188890591
224,Eleme Junction,2022-01-29,541.2645555734794
232,Eleme Junction,2022-01-30,546.287906124443
240,Eleme Junction,2022-01-31,547.5116310944776
248,Eleme Junction,2022-02-01,548.4273638797406
256,Eleme Junction,2022-02-02,545.2877889437843
264,Eleme Junction,2022-02-03,544.3091074643228
272,Eleme Junction,2022-02-04,542.0074290058377
280,Eleme Junction,2022-02-05,549.2843581005438
288,Eleme Junction,2022-02-06,552.7578491179149
296,Eleme Junction,2022-02-07,553.9873709801174
304,Eleme Junction,2022-02-08,553.8867355945498
312,Eleme Junction,2022-02-09,552.2181028537989
320,Eleme Junction,2022-02-10,549.7607034024543
328,Eleme Junction,2022-02-11,550.6304836530664
336,Eleme Junction,2022-02-12,550.2046924641616
344,Eleme Junction,2022-02-13,547.0788412470736
352,Eleme Junction,2022-02-14,548.8328165606389
360,Eleme Junction,2022-02-15,551.425971286687
368,Eleme Junction,2022-02-16,552.3052784467859
376,Eleme Junction,2022-02-17,556.0949060518421
384,Eleme Junction,2022-02-18,552.446289142548
392,Eleme Junction,2022-02-19,548.851296335129
400,Eleme Junction,2022-02-20,550.7908244590075
408,Eleme Junction,2022-02-21,555.164940159852
416,Eleme Junction,2022-02-22,557.4621781260674
424,Eleme Junction,2022-02-23,554.2972056745805
432,Eleme Junction,2022-02-24,550.4134639604671
440,Eleme Junction,2022-02-25,549.2802817699293
448,Eleme Junction,2022-02-26,548.776300738204
456,Eleme Junction,2022-02-27,548.2525620161998
464,Eleme Junction,2022-02-28,546.1917249098442
472,Eleme Junction,2022-03-01,549.317693438479
480,Eleme Junction,2022-03-02,551.2698689076295
488,Eleme Junction,2022-03-03,557.0219072367724
496,Eleme Junction,2022-03-04,552.2571070649104
504,Eleme Junction,2022-03-05,552.8484154455094
512,Eleme Junction,2022-03-06,554.3604633119857
520,Eleme Junction,2022-03-07,550.5353663181613
